"Is_Industry","SO","Counts","Perc_Industry_Status","SO_ID"
0,"JOURNAL OF DAIRY SCIENCE",10179,0.0767861318769189,279
0,"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY",10042,0.0757526609989213,270
0,"FOOD CHEMISTRY",8568,0.0646334195816329,157
0,"JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE",4573,0.0344968052925779,332
0,"",4233,0.0319319870552115,1
1,"JOURNAL OF DAIRY SCIENCE",1142,0.247883655307141,279
1,"FOOD CHEMISTRY",231,0.0501410896461906,157
1,"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY",218,0.047319296722379,270
1,"NUTRIENTS",125,0.0271326242674191,383
1,"INTERNATIONAL DAIRY JOURNAL",112,0.0243108313436076,247
